X,Y,ACCESSION,PC,TEXT,TEXT_FR,ID,IMAGE,IMAGE_FR,CREDIT,LAT,LONG,ADDRESS,ADDRESS_FR,ARTWORK,ARTWORK_FR,ARTISTS,LOCATION,LOCATION_FR,CITY,PROVINCE,DATE_MOD,MATERIAL,MATERIAL_FR,YEAR,ObjectId
-8429637.15954373,5685291.4450648,1989-0017,K1Y 2Y3,"At his studio in Burnstown, Ontario, Richard Gill mixed the clay for a massive new project—a 20-foot wall mural at the Hintonburg Community Centre. He wedged and pounded the clay into flat slabs, then pinched out the rough form of a west Ottawa streetscape. Over the next week, as the clay stiffened, Gill completed the trees, houses and people. When completely dry, the slabs were kiln fired to 1,800°F, cleaned and painted with glazes. Each piece was fired again, this time to 2,300°F. Finally, the pieces were fitted, wired and hung in a custom-built recess along the centre’s concrete ramp wall.","Dans son studio de Burnstown, en Ontario, Richard Gill a préparé l’argile pour un nouveau projet d’envergure : une murale de six mètres au Centre communautaire Hintonburg. Il a pétri l’argile et l’a aplatie en plaques, puis l’a modelée pour lui donner la forme approximative d’un paysage de rue dans l’ouest d’Ottawa. La semaine suivante, alors que l’argile durcissait, l’artiste a achevé les arbres, les maisons et les gens. Une fois complètement sèches, les plaques ont été cuites au four à 982 °C, nettoyées puis recouvertes de glaçure. Chaque pièce a ensuite été cuite à nouveau, cette fois à 1260 °C. Enfin, les pièces ont été assemblées et accrochées dans un renfoncement à cette fin sur le mur en béton longeant la rampe du centre.",PA9,https://ottawa.ca/sites/default/files/images/featured/1989-0017.jpg,https://ottawa.ca/sites/default/files/images/featured/1989-0017.jpg,,45.403638,-75.724719,1064 Wellington St,"1064, rue Wellington",West Ottawa Streetscape,West Ottawa Streetscape,"Gill, Richard","1064 Wellington Street, Hintonburg Community Centre","1064 Wellington Street, Hintonburg Community Centre",Ottawa,ON,20210118,ceramic,céramique,1989,11
-8429637.15954373,5685291.4450648,1989-0019,K1Y 2Y3,The text “WE’RE NOT GETTING ANY OLDER NOW” points out the fact that the photograph has arrested this moment for our consideration. The installation of the text on the floor accentuates the intended three dimensional illusion of the image and assigns impor,Le texte « WE’RE NOT GETTING ANY OLDER NOW » (nous ne vieillissons pas) signale le fait que le photographe a immortalisé ce moment pour le porter à notre attention. L’installation du texte sur le plancher accentue l’illusion de trois dimensions recherchée,PA10,,,,45.403638,-75.724719,,,We are not getting any older now...,We are not getting any older now...,"Wonnacott, Justin",,,Ottawa,ON,20210118,"Ektacolour print with text, dye-coupler print (Ektacolour)","épreuve (Ektacolour, dye-coupler) avec texte",1989,12
-8431473.81982233,5682189.94312645,1989-0020,,,,PA317,,,,45.384073,-75.741218,1445 Carling Ave,"1445, av Carling",Firefighters in Action (Series),Firefighters in Action (Series),"McVeigh, Don","1445 Carling Avenue, Fire Station Administration offices","1445 Carling Avenue, Fire Station Administration offices",Ottawa,ON,20210118,oil on canvas,huile sur toile,1988,13
-8425664.83483426,5687168.87875378,1989-0021,K2P 2J5,"Swimming, leaping and diving salmon inspired the abstract shapes found in this dynamic painting. The title, Ouananiche (pronounced waa-na-neesh), is a name used for landlocked Atlantic salmon. These fish are known as jumpers due to their tendency to go airborne. The painting’s surface is built up with many layers of translucent colour which are contrasted with a spontaneous handling of paint and a relatively strict compositional structure. Though this piece is dedicated to the principles of abstract art (colour, line and shape), Sharpe kept a close affinity to the energetic movements of nature as the subject. This painting was commissioned at a time when Sharpe was using elongated triangular forms to reference water, watery environments and the life forms found in water. It was installed for the reopening of the Jack Purcell Community Centre in 1989.","Les saumons qui nagent, sautent et plongent ont inspiré les formes abstraites que l’on retrouve dans cette peinture dynamique. Le titre, Ouananiche, est un nom donné au saumon de l’Atlantique confiné aux eaux intérieures. Ces poissons sont connus comme des sauteurs en raison de leur tendance à bondir hors de l’eau. La surface de la toile est recouverte de nombreuses couches de couleur translucide qui contrastent avec la spontanéité du coup de pinceau et la rigueur relative de la composition. Quoiqu’il ait été fidèle aux principes de l’art abstrait (couleur, ligne et forme), l’artiste a fait de l’énergie déployée par la nature le sujet de cette pièce. Elle a été commandée à une époque où Blair Sharpe utilisait des formes triangulaires allongées pour évoquer l’eau, les environnements aquatiques et les formes de vie qu’on y trouve. Son installation a eu lieu en 1989, lors de la réouverture du Centre communautaire Jack-Purcell.",PA11,https://ottawa.ca/sites/default/files/images/featured/1989-0021.jpg,https://ottawa.ca/sites/default/files/images/featured/1989-0021.jpg,,45.415478,-75.689035,320 Jack Purcell Lane,"320, ln Jack Purcell",Ouananiche,Ouananiche,"Sharpe, Blair","320 Jack Purcell Lane, Jack-Purcell Community Centre","320 Jack Purcell Lane, Jack-Purcell Community Centre",Ottawa,ON,20210118,acrylic on canvas,acrylique sur toile,1989,14
-8416892.19104281,5681298.92552612,1989-0022,,,,PA318,,,,45.378451,-75.610229,2280 Stevenage Dr,"2280, prom Stevenage",Kinetic Clock,Kinetic Clock,"Stonyer, Andrew","2280 Stevenage Drive, Heritage Grade Restoration","2280 Stevenage Drive, Heritage Grade Restoration",Ottawa,ON,20210118,steel and paint,acier et peinture,1989,15
-8425436.96383661,5689551.28074476,1990-0001,K1N 7M5,"Bathing in Champagne is a series of hand-painted and colour-washed ceramic tiles on the deck, pillars, and inside wall of Champagne Fitness Centre's sky-lit extension. Mimi Cabri and Jill Elder designed and installed the tiles. The main mural, a fourteen-foot series of tiles, represents a trio of turn-of-the-century bathers and is framed by small picture scenes set into two larger tiled areas. The pastel seaside motifs and 1920s bathers in swim dresses and beach boots reflect a bright and cheerful attitude. The tile design was inspired by the original pool tiling and by architectural features in the building. The tiles arrived from England without glaze and were painted with the artists’ designs using majolica stains. The tiles were then glazed and fired at Mimi Cabri’s Ottawa studio. ","Bain à Champagne est une série de carreaux de céramique peints à la main et badigeonnés, que Mimi Cabri et Jill Elder ont conçu et installé sur la terrasse, les piliers et le mur intérieur du prolongement du Centre sportif Champagne, sous une lumière naturelle. La mosaïque principale, qui s’étend sur quatorze pieds et représente un trio de baigneuses du tournant du XXe siècle, est encadrée de petites scènes en images disposées sur deux murs carrelés plus grands. Les motifs balnéaires en tons pastel et les baigneuses des années 1920, en tenue de bain et chaussures de plage aux pieds, évoquent clarté et légèreté. La disposition de l’ensemble est inspirée du carrelage de la piscine d’origine et des éléments architecturaux de l’édifice. Importés d’Angleterre sans glaçure, les carreaux ont été ornés des dessins de l’artiste selon la technique de la majolique, puis vernissés et cuits au studio de Mimi Cabri à Ottawa. ",PA12,https://ottawa.ca/sites/default/files/images/featured/bathing.jpg,https://ottawa.ca/sites/default/files/images/featured/bathing.jpg,,45.430499,-75.686988,321 King Edward Ave,"321, av King Edward",Bathing in Champagne,Bain de champagne,"Cabri, Mimi","321 King Edward Avenue, Champagne Bath Pool","321 King Edward Avenue, Champagne Bath Pool",Ottawa,ON,20210118,ceramic tile,carreau de céramique,1990,16
-8421770.21112937,5681459.308495,1990-0030,K1V 6A5,"On Floor 3 of the centre, artist Pat Durr has created an 18-foot-long curved mural. Predominantly abstract, the mural uses playful colours and abstract symbols that relate to ideas about environmentalism and the complexities of life. For Pat Durr, the fate of the earth is an ongoing concern. The frog is an important environmental indicator and draws attention to the damage caused by human activity. Her son Sean’s pet frog was used as a model in many of her paintings. The artist’s hopes and dreams for her children are represented by these images of a rich natural world.","Au 3e étage du centre, l’artiste Pat Durr a créé une murale incurvée longue de 18 pieds. Essentiellement abstraite, l’œuvre fait appel à des couleurs enjouées et à des symboles abstraits qui l’associent à l’environnementalisme et aux complexités de l’existence. Le destin de la terre est une préoccupation constante pour Pat Durr. La grenouille est un indicateur environnemental important qui attire l’attention sur les dommages causés par l’activité humaine. La grenouille apprivoisée de son fils Sean a servi de modèle dans bon nombre de ses peintures. Les espoirs et les rêves que l’artiste entretient pour ses enfants sont représentés par ces images d’un monde naturel opulent.",PA13,https://ottawa.ca/sites/default/files/images/featured/homeiswhere.jpg,https://ottawa.ca/sites/default/files/images/featured/homeiswhere.jpg,,45.379463,-75.654049,1480 Heron Rd,"1480, ch Heron",Home is Where the Heart Is,Home is Where the Heart Is,"Durr, Pat","1480 Heron Road, Heron Road Community Centre","1480 Heron Road, Heron Road Community Centre",Ottawa,ON,20210118,acrylic on cotton duck canvas on cassiform,,1990,17
-8419611.39224441,5678993.65826059,1991-0004,K1T 3P8,"It “It is my hope that this piece will have the effect of recalling the memories of being in a greenhouse or conservatory. The work is a reminder of growing and thriving plants, of hanging vines and trellises overhead, of the warmth of a summer day. It is a metaphor for organic life and growth.” - Barbara Brown","« J’espère que cette œuvre éveillera des souvenirs de serre ou de conservatoire. Elle évoque des plantes florissantes, grimpantes et des treillis en surplomb par une chaude journée d’été. Il s’agit d’une représentation métaphorique de la vie organique. » – Barbara Brown",PA14,https://ottawa.ca/sites/default/files/images/featured/1991-0004.jpg,https://ottawa.ca/sites/default/files/images/featured/1991-0004.jpg,,45.363903,-75.634656,363 Lorry Greenberg Dr,"363, prom Lorry Greenberg",Trellisworks,Trellisworks,"Brown, Barbara","363 Lorry Greenberg Drive, Greenboro Community Centre","363 Lorry Greenberg Drive, Greenboro Community Centre",Ottawa,ON,20210118,aluminum and wood,aluminium et bois,1991,18
-8425955.7126637,5689796.99556621,1991-0007,,,,PA319,,,,45.432048,-75.691648,172 Guigues Ave,"172, av Guigues",Tell Me A Story...,Tell Me A Story...,"Nigro, Richard","172 Guigues Avenue, 3rd Floor (Storage Room A & B)","172 Guigues Avenue, 3rd Floor (Storage Room A & B)",Ottawa,ON,20210118,"photo etching on zinc plates, concrete base","photogravure sur  plaques en zinc, base en béton",1991,19
-8424425.40362377,5688360.55563149,1991-0008,K1N 6V6,"These window shutters were made using bevelled glass and mouth-blown glass to give the effect of deteriorating shutters. The treatment of the glass references various stages of repair. The artist believes that glass presents a paradox for its apparent fragility and enduring strength. The design, which is carried through the hall and stairs, offers points of connection between the art and the architecture.",Ces volets qui semblent se détériorer ont été faits à partir de verre biseauté et de verre soufflé : le traitement évoque diverses étapes du processus de réparation. L’artiste croit que le verre présente un paradoxe en raison de son apparente fragilité et de sa durabilité. Des éléments situés à différents endroits du hall et des escaliers créent des ponts entre l’art et l’architecture.,PA15,https://ottawa.ca/sites/default/files/images/featured/1991-0008.jpg,https://ottawa.ca/sites/default/files/images/featured/1991-0008.jpg,,45.422992,-75.677901,250 Somerset St E,"250, rue Somerset E",Shutters,Shutters,"Brathwaite, Stephen","250 Somerset Street East, Sandy Hill Community Centre","250 Somerset Street East, Sandy Hill Community Centre",Ottawa,ON,20210118,"bevelled and mouthblown glass, lead, heat coloured steel","verre biseauté et verre soufflé, plomb,
acier coloré par la chaleur",1991,20
-8422318.12566305,5680316.24631409,1991-0040,K1V 6P9,"The aluminum base of the sculpture’s pyramid is 16 feet on its longest side and 6 feet on its shortest side. The top is a small glass pyramid about 4 feet high, reaching 18 feet high in the air. This is the mountain and its summit of ice.","La base en aluminium de la sculpture fait 16 pieds sur 6 pieds. La cime de la pyramide de verre, d’environ 4 pieds de haut, atteint une hauteur totale de 18 pieds. Tout comme une montagne et son sommet de glace.",PA16,https://ottawa.ca/sites/default/files/images/featured/glacier.jpg,https://ottawa.ca/sites/default/files/images/featured/glacier.jpg,,45.37225,-75.658971,1265 Walkley Rd,"1265, ch Walkley",Glacier,Glacier,"Vigneau, Jean-Yves","1265 Walkley Road, Jim Durrell Arena","1265 Walkley Road, Jim Durrell Arena",Ottawa,ON,20210118,aluminum and Plexiglas,aluminium et Plexiglas,1991,21
-8430197.87581885,5684985.13089744,1991-0043,,"Harvest was commissioned in 1991 through the City of Ottawa’s Percent for Art policy and was produced by Ottawa artist Karl Ciesluk from two ash tree trunks with steel plate canopies and a concrete/wood seating arrangement beneath.  Three-inch diameter circles are cut-out from the steel canopies and are glazed with transparent red and green Plexiglas so that the sun casts coloured shapes (meant to represent fruit and foliage) onto the surfaces beneath the sculpture.  Three large black steel crows are perched on the top of the trees and secured by ball bearings so that they change directions with the weather.  The sculpture is located at the east entrance of Parkdale Park, adjacent to the parking area for Parkdale Market.","L’œuvre Harvest a été commandée en 1991 dans le cadre de la politique Pourcentage pour les arts de la Ville d’Ottawa. Elle a été créée par l’artiste ottavien Karl Ciesluk à partir de deux troncs de frênes coiffés d’auvents en acier et plantés dans une base de béton et de bois sur laquelle les visiteurs peuvent s’asseoir. Dans les voûtes, des ouvertures circulaires de huit centimètres de diamètre sont comblées par des pièces de plexiglas rouges et vertes dont la transparence permet à la lumière du soleil de projeter des formes colorées - symbolisant des fruits et des feuilles - sur les surfaces en contrebas. Trois grands corbeaux d’acier sont perchés au sommet des arbres. Fixés sur des roulements à billes, ils peuvent changer de sens selon les conditions météorologiques. La sculpture se trouve à l’entrée est du parc Parkdale, à côté de l’aire de stationnement du marché Parkdale.",PA17,https://ottawa.ca/sites/default/files/images/featured/1991-0043.jpg,https://ottawa.ca/sites/default/files/images/featured/1991-0043.jpg,,45.401706,-75.729756,366 Parkdale Ave,"366, av Parkdale",Harvest,Harvest,"Ciesluk, Karl","366 Parkdale Avenue, Parkdale Park","366 Parkdale Avenue, Parkdale Park",Ottawa,ON,20210118,"wood, metal, Plexiglas and concrete","bois, métal, Plexiglas et béton",1991,22
-8427059.6680539,5686185.71405585,1992-0003,K1R 6E5,"""This project was installed in order to promote and celebrate some of the diverse activities that occur in this vital community park and centre. The nets and the coloured ball images in the brick represent different games and sports played by many different people. The outdoors elements have been stressed for the reason that this park is a place under the sun. The green canopy casts a shadow, pointing to the importance of considering the force of the sun’s energy in these days of environmental transition.

This work is dedicated to the residents of Centretown.""

 – D. Robinson, August 1993","« Ce projet a été mis sur pied dans le but de promouvoir et de célébrer quelques-unes des différentes activités qui ont lieu dans ce parc et centre communautaire de grande importance. Les filets et les images de balles colorées dans la brique représentent différents sports et jeux auxquels participent une foule de personnes. Puisque le parc où se trouve cette œuvre est baigné de soleil, la partie extérieure de l’œuvre a été mise en valeur. Cette œuvre montre l’importance de prendre en compte la force de l’énergie solaire dans cette époque de transition environnementale, à cause des feuilles des arbres qui lui font de l’ombre.

Ce travail est dédié aux résidents du centre-ville. »

– D. Robinson, août 1993",PA18,https://ottawa.ca/sites/default/files/images/featured/1992-0003.jpg,https://ottawa.ca/sites/default/files/images/featured/1992-0003.jpg,,45.409278,-75.701565,180 Percy St,"180, rue Percy",Indicator 03,Indicator 03,"Robinson, David","180 Percy Street, McNabb Community Centre","180 Percy Street, McNabb Community Centre",Ottawa,ON,20210118,"polychromed steel, wood","acier polychromé, bois",1992,23
-8423773.51668568,5683094.83983377,1992-0004,K1H 6K1,"Three clay sculptures recognize the history of the Billings Bridge neighbourhood:

Members of the Billings family working in the garden    
A panoramic view of an early bridge across the Rideau River allowing settlers to cross the river and sell their wares at the Bytown Market; this image depicts the Village of Billings Bridge and the Billings family farm
The opening celebrations of a new bridge which still exists today","Trois sculptures d’argile soulignent l’histoire du quartier de Billings Bridge :

Des membres de la famille Billings travaillant dans le jardin.        
Une vue panoramique d’un ancien pont qui traversait la rivière Rideau, permettant aux colons d’atteindre l’autre rive pour aller vendre leurs marchandises au marché de Bytown. Cette image représente le village de Billings Bridge et la ferme familiale des Billings.
Les célébrations soulignant l’ouverture d’un nouveau pont qui existe encore aujourd’hui.",PA19,https://ottawa.ca/sites/default/files/images/featured/1992-0004.jpg,https://ottawa.ca/sites/default/files/images/featured/1992-0004.jpg,,45.389782,-75.672045,2100 Cabot St,"2100, rue Cabot",Billings Bridge ,Billings Bridge ,"Gill, Richard","2100 Cabot Street, Billings Estate Museum","2100 Cabot Street, Billings Estate Museum",Ottawa,ON,20210118,clay,argile,1992,24
